candidate_name,startdate,enddate,pollster,samplesize,pct
David A. Perdue,12/14/20,12/16/20,Trafalgar Group,1064,50
Jon Ossoff,12/14/20,12/16/20,Trafalgar Group,1064,48
Kelly Loeffler,12/14/20,12/16/20,Trafalgar Group,1064,52
Raphael Warnock,12/14/20,12/16/20,Trafalgar Group,1064,46
David A. Perdue,12/14/20,12/16/20,Emerson College,605,51
Jon Ossoff,12/14/20,12/16/20,Emerson College,605,49
Kelly Loeffler,12/14/20,12/16/20,Emerson College,605,51
Raphael Warnock,12/14/20,12/16/20,Emerson College,605,49
David A. Perdue,12/10/20,12/14/20,Wick,1500,51
Jon Ossoff,12/10/20,12/14/20,Wick,1500,47
Kelly Loeffler,12/10/20,12/14/20,Wick,1500,50
Raphael Warnock,12/10/20,12/14/20,Wick,1500,48
David A. Perdue,12/14/20,12/14/20,InsiderAdvantage,500,48
Jon Ossoff,12/14/20,12/14/20,InsiderAdvantage,500,49
Kelly Loeffler,12/14/20,12/14/20,InsiderAdvantage,500,49
Raphael Warnock,12/14/20,12/14/20,InsiderAdvantage,500,48
David A. Perdue,12/08/20,12/10/20,Trafalgar Group,1018,49
Jon Ossoff,12/08/20,12/10/20,Trafalgar Group,1018,49
Kelly Loeffler,12/08/20,12/10/20,Trafalgar Group,1018,50
Raphael Warnock,12/08/20,12/10/20,Trafalgar Group,1018,47
David A. Perdue,11/30/20,12/04/20,Fabrizio Ward/ Hart Research Associates,1250,46
Jon Ossoff,11/30/20,12/04/20,Fabrizio Ward/ Hart Research Associates,1250,48
Kelly Loeffler,11/30/20,12/04/20,Fabrizio Ward/ Hart Research Associates,1250,46
Raphael Warnock,11/30/20,12/04/20,Fabrizio Ward/ Hart Research Associates,1250,47
Raphael Warnock,12/1/2020,12/3/2020,Trafalgar Group,1083,45.3
Raphael Warnock,11/19/2020,11/24/2020,RMG Research,1377,48
Raphael Warnock,11/27/2020,11/30/2020,SurveyUSA,583,52
Raphael Warnock,11/10/2020,11/10/2020,VCreek/AMG,300,45.6
Raphael Warnock,11/16/2020,11/16/2020,Opinion Savvy/InsiderAdvantage,800,49
Raphael Warnock,11/8/2020,11/9/2020,Remington Research Group,1450,48
Kelly Loeffler,12/1/2020,12/3/2020,Trafalgar Group,1083,50.2
Kelly Loeffler,11/19/2020,11/24/2020,RMG Research,1377,46
Kelly Loeffler,11/27/2020,11/30/2020,SurveyUSA,583,45
Kelly Loeffler,11/10/2020,11/10/2020,VCreek/AMG,300,49.5
Kelly Loeffler,11/16/2020,11/16/2020,Opinion Savvy/InsiderAdvantage,800,48
Kelly Loeffler,11/8/2020,11/9/2020,Remington Research Group,1450,49
Jon Ossoff,12/1/2020,12/3/2020,Trafalgar Group,1083,48
Jon Ossoff,11/19/2020,11/24/2020,RMG Research,1377,48
Jon Ossoff,11/27/2020,11/30/2020,SurveyUSA,583,50
Jon Ossoff,11/16/2020,11/16/2020,Opinion Savvy/InsiderAdvantage,800,49
Jon Ossoff,11/8/2020,11/9/2020,Remington Research Group,1450,46
David A. Perdue,12/1/2020,12/3/2020,Trafalgar Group,1083,47.3
David A. Perdue,11/19/2020,11/24/2020,RMG Research,1377,47
David A. Perdue,11/27/2020,11/30/2020,SurveyUSA,583,48
David A. Perdue,11/16/2020,11/16/2020,Opinion Savvy/InsiderAdvantage,800,49
David A. Perdue,11/8/2020,11/9/2020,Remington Research Group,1450,50
